t	x	y	z
61.1000	-8.5160	-19.7311	0.0000
61.2000	-6.5429	-20.4817	0.0000
61.3000	-4.4947	-21.0350	0.0000
61.4000	-2.3912	-21.3835	0.0000
61.5000	-0.2529	-21.5216	0.0000
61.6000	1.8993	-21.4459	0.0000
61.7000	4.0439	-21.1550	0.0000
61.8000	6.1594	-20.6496	0.0000
61.9000	8.2243	-19.9327	0.0000
62.0000	10.2176	-19.0092	0.0000
62.1000	12.1185	-17.8865	0.0000
62.2000	13.9072	-16.5736	0.0000
62.3000	15.5645	-15.0819	0.0000
62.4000	17.0727	-13.4245	0.0000
62.5000	18.4152	-11.6162	0.0000
62.6000	19.5768	-9.6737	0.0000
62.7000	20.5442	-7.6150	0.0000
62.8000	21.3057	-5.4596	0.0000
62.9000	21.8516	-3.2280	0.0000
63.0000	22.1744	-0.9419	0.0000
63.1000	22.2686	1.3766	0.0000
63.2000	22.1309	3.7044	0.0000
63.3000	21.7605	6.0185	0.0000
63.4000	21.1586	8.2956	0.0000
63.5000	20.3291	10.5125	0.0000
63.6000	19.2778	12.6464	0.0000
63.7000	18.0132	14.6751	0.0000
63.8000	16.5457	16.5775	0.0000
63.9000	14.8879	18.3330	0.0000
64.0000	13.0546	19.9228	0.0000
64.1000	11.0623	21.3293	0.0000
64.2000	8.9294	22.5365	0.0000
64.3000	6.6758	23.5305	0.0000
64.4000	4.3227	24.2990	0.0000
64.5000	1.8928	24.8323	0.0000
64.6000	-0.5904	25.1226	0.0000
64.7000	-3.1027	25.1646	0.0000
64.8000	-5.6191	24.9553	0.0000
64.9000	-8.1147	24.4944	0.0000
65.0000	-10.5641	23.7839	0.0000
65.1000	-12.9425	22.8285	0.0000
65.2000	-15.2253	21.6353	0.0000
65.3000	-17.3889	20.2137	0.0000
65.4000	-19.4102	18.5758	0.0000
65.5000	-21.2678	16.7358	0.0000
65.6000	-22.9414	14.7100	0.0000
65.7000	-24.4124	12.5169	0.0000
65.8000	-25.6641	10.1766	0.0000
65.9000	-26.6818	7.7112	0.0000
66.0000	-27.4529	5.1441	0.0000
