t	x	y	z
54.3000	-1.7075	-0.6705	0.0000
54.4000	-1.6321	-0.7369	0.0000
54.5000	-1.5505	-0.7956	0.0000
54.6000	-1.4634	-0.8458	0.0000
54.7000	-1.3718	-0.8870	0.0000
54.8000	-1.2765	-0.9189	0.0000
54.9000	-1.1785	-0.9412	0.0000
55.0000	-1.0787	-0.9535	0.0000
55.1000	-0.9783	-0.9559	0.0000
55.2000	-0.8781	-0.9482	0.0000
55.3000	-0.7791	-0.9306	0.0000
55.4000	-0.6824	-0.9031	0.0000
55.5000	-0.5890	-0.8662	0.0000
55.6000	-0.4997	-0.8201	0.0000
55.7000	-0.4154	-0.7654	0.0000
55.8000	-0.3370	-0.7025	0.0000
55.9000	-0.2652	-0.6321	0.0000
56.0000	-0.2009	-0.5549	0.0000
56.1000	-0.1446	-0.4717	0.0000
56.2000	-0.0968	-0.3833	0.0000
56.3000	-0.0581	-0.2905	0.0000
56.4000	-0.0289	-0.1944	0.0000
56.5000	-0.0094	-0.0958	0.0000
56.6000	0.0002	0.0043	0.0000
56.7000	-0.0002	0.1048	0.0000
56.8000	-0.0107	0.2047	0.0000
56.9000	-0.0311	0.3031	0.0000
57.0000	-0.0612	0.3990	0.0000
57.1000	-0.1007	0.4914	0.0000
57.2000	-0.1493	0.5794	0.0000
57.3000	-0.2064	0.6621	0.0000
57.4000	-0.2714	0.7387	0.0000
57.5000	-0.3438	0.8085	0.0000
57.6000	-0.4227	0.8707	0.0000
57.7000	-0.5075	0.9246	0.0000
57.8000	-0.5972	0.9699	0.0000
57.9000	-0.6910	1.0060	0.0000
58.0000	-0.7879	1.0325	0.0000
58.1000	-0.8870	1.0493	0.0000
58.2000	-0.9873	1.0561	0.0000
58.3000	-1.0877	1.0528	0.0000
58.4000	-1.1874	1.0396	0.0000
58.5000	-1.2852	1.0165	0.0000
58.6000	-1.3802	0.9837	0.0000
58.7000	-1.4714	0.9416	0.0000
58.8000	-1.5580	0.8906	0.0000
58.9000	-1.6391	0.8313	0.0000
59.0000	-1.7139	0.7641	0.0000
59.1000	-1.7816	0.6898	0.0000
59.2000	-1.8416	0.6092	0.0000
59.3000	-1.8932	0.5230	0.0000
59.4000	-1.9359	0.4320	0.0000
59.5000	-1.9694	0.3372	0.0000
59.6000	-1.9932	0.2396	0.0000
59.7000	-2.0072	0.1401	0.0000
59.8000	-2.0112	0.0397	0.0000
59.9000	-2.0051	-0.0607	0.0000
60.0000	-1.9891	-0.1599	0.0000
60.1000	-1.9633	-0.2570	0.0000
60.2000	-1.9279	-0.3510	0.0000
60.3000	-1.8833	-0.4411	0.0000
60.4000	-1.8299	-0.5263	0.0000
60.5000	-1.7683	-0.6057	0.0000
60.6000	-1.6991	-0.6785	0.0000
60.7000	-1.6230	-0.7441	0.0000
60.8000	-1.5407	-0.8018	0.0000
60.9000	-1.4530	-0.8510	0.0000
61.0000	-1.3609	-0.8912	0.0000
61.1000	-1.2652	-0.9220	0.0000
61.2000	-1.1670	-0.9431	0.0000
61.3000	-1.0671	-0.9543	0.0000
61.4000	-0.9666	-0.9555	0.0000
61.5000	-0.8665	-0.9467	0.0000
61.6000	-0.7678	-0.9279	0.0000
61.7000	-0.6714	-0.8993	0.0000
61.8000	-0.5784	-0.8613	0.0000
61.9000	-0.4896	-0.8142	0.0000
62.0000	-0.4060	-0.7585	0.0000
62.1000	-0.3283	-0.6947	0.0000
62.2000	-0.2574	-0.6235	0.0000
62.3000	-0.1939	-0.5456	0.0000
62.4000	-0.1386	-0.4617	0.0000
62.5000	-0.0919	-0.3727	0.0000
62.6000	-0.0542	-0.2795	0.0000
62.7000	-0.0261	-0.1831	0.0000
62.8000	-0.0078	-0.0843	0.0000
62.9000	0.0007	0.0159	0.0000
63.0000	-0.0009	0.1164	0.0000
63.1000	-0.0126	0.2162	0.0000
63.2000	-0.0341	0.3144	0.0000
63.3000	-0.0653	0.4099	0.0000
63.4000	-0.1059	0.5018	0.0000
63.5000	-0.1555	0.5893	0.0000
63.6000	-0.2135	0.6713	0.0000
63.7000	-0.2794	0.7472	0.0000
